id_bien;num_voie;voie;code_postal;surface_totale;type_local;total_piece;id_codedep_codecom
751;37 ;RUE PASTORELLI;6000;47.35;Appartement;2;06088
752;99 ;AV HESPERIDES;6300;26.08;Appartement;2;06088
753;32 ;BD DUBOUCHAGE;6000;65.28;Appartement;2;06088
754;93 ;AV DE RIMIEZ;6100;288.59;Maison;6;06088
755;9 ;VOIE ROMAINE;6000;21.83;Appartement;1;06088
756;22 ;BD DUBOUCHAGE;6000;50.01;Appartement;2;06088
757;10 ;AV CAGNOLI;6100;35.53;Appartement;1;06088
758;4 ;AV MARECHAL FOCH;6000;117.5;Appartement;4;06088
759;10 ;RUE DU CONGRES;6000;36.4;Appartement;5;06088
760;24 ;IMP LAURENTI;6100;26;Appartement;1;06088
761;21 ;AV RENE BOYLESVE;6100;42.26;Appartement;2;06088
762;1 ;AV SAINTE CLAIRE;6100;85.71;Appartement;2;06088
763;74 ;AV DE BRANCOLAR;6100;38.03;Appartement;1;06088
764;5 ;CHE DE L ARBRE;6340;91.41;Appartement;5;06149
765;39 ;PROM DES ANGLAIS;6000;84.01;Appartement;3;06088
766;55 ;RUE DE LA BUFFA;6000;23.74;Appartement;1;06088
767;46 ;RUE GIOFFREDO;6000;18.74;Appartement;1;06088
768;19 ;RUE CHABRIER;6300;32.47;Appartement;1;06088
769;2 ;RUE DES BARBETS;6300;67.18;Appartement;3;06088
770;6 ;IMP FERNAND LEGER;6340;99.84;Maison;5;06149
771;3 ;AV GALLIN;6100;16.13;Appartement;1;06088
772;65 ;BD DE LA MADELEINE;6000;31.43;Appartement;2;06088
773;127 ;PROM DES ANGLAIS;6200;52.8;Appartement;1;06088
774;4 ;AV CYRNOS;6100;47.5;Appartement;3;06088
775;179 ;AV CORNICHE FLEURIE;6200;96.39;Maison;5;06088
776;27 ;RUE CROS DE CAPEU;6100;107.24;Appartement;4;06088
777;8 ;AV GLORIA;6200;55.44;Appartement;2;06088
778;116 ;AV CYRILLE BESSET;6100;91.23;Appartement;4;06088
779;266 B;AV SAINTE MARGUERITE;6200;41.01;Appartement;2;06088
780;29 ;AV DES BAUMETTES;6000;99.18;Appartement;4;06088
781;12 ;RUE LOUIS BLERIOT;6200;67.08;Appartement;3;06088
